year,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,excitement,fear,gratitude,joy,love,nervousness,neutral,optimism,realization,remorse,sadness,surprise
1989,0.11538461538461539,0.015384615384615385,0.038461538461538464,0.019230769230769232,0.0038461538461538464,0.0,0.019230769230769232,0.06153846153846154,0.0,0.007692307692307693,0.0,0.0,0.0038461538461538464,0.0,0.023076923076923078,0.0038461538461538464,0.007692307692307693,0.0,0.6230769230769231,0.011538461538461539,0.0038461538461538464,0.0,0.038461538461538464,0.0038461538461538464
1990,0.10136986301369863,0.01643835616438356,0.0410958904109589,0.0027397260273972603,0.010958904109589041,0.0027397260273972603,0.005479452054794521,0.0547945205479452,0.0,0.0027397260273972603,0.005479452054794521,0.0027397260273972603,0.0027397260273972603,0.0027397260273972603,0.03287671232876712,0.010958904109589041,0.024657534246575342,0.0,0.6082191780821918,0.021917808219178082,0.0,0.0,0.043835616438356165,0.005479452054794521
1991,0.07945205479452055,0.01643835616438356,0.030136986301369864,0.0136986301369863,0.019178082191780823,0.0,0.00821917808219178,0.057534246575342465,0.0027397260273972603,0.0027397260273972603,0.010958904109589041,0.0027397260273972603,0.0,0.0,0.00821917808219178,0.010958904109589041,0.00821917808219178,0.0,0.684931506849315,0.019178082191780823,0.0,0.0,0.019178082191780823,0.005479452054794521
1992,0.10655737704918032,0.030054644808743168,0.03551912568306011,0.01092896174863388,0.01366120218579235,0.0,0.01092896174863388,0.03278688524590164,0.00273224043715847,0.00819672131147541,0.01092896174863388,0.0,0.0,0.00273224043715847,0.030054644808743168,0.00819672131147541,0.01639344262295082,0.0,0.644808743169399,0.01366120218579235,0.00273224043715847,0.0,0.01639344262295082,0.00273224043715847
1993,0.09315068493150686,0.021917808219178082,0.01643835616438356,0.00821917808219178,0.019178082191780823,0.0027397260273972603,0.01643835616438356,0.052054794520547946,0.0027397260273972603,0.00821917808219178,0.005479452054794521,0.0,0.010958904109589041,0.0,0.0273972602739726,0.00821917808219178,0.010958904109589041,0.0,0.6712328767123288,0.010958904109589041,0.0027397260273972603,0.0,0.00821917808219178,0.0027397260273972603
1994,0.08493150684931507,0.019178082191780823,0.021917808219178082,0.0136986301369863,0.019178082191780823,0.0027397260273972603,0.00821917808219178,0.04657534246575343,0.0027397260273972603,0.0,0.0136986301369863,0.0,0.005479452054794521,0.0,0.01643835616438356,0.00821917808219178,0.0136986301369863,0.0,0.7041095890410959,0.0027397260273972603,0.0027397260273972603,0.0027397260273972603,0.010958904109589041,0.0
1995,0.07671232876712329,0.03287671232876712,0.01643835616438356,0.01643835616438356,0.005479452054794521,0.005479452054794521,0.019178082191780823,0.0821917808219178,0.0027397260273972603,0.0136986301369863,0.00821917808219178,0.0,0.0027397260273972603,0.0,0.038356164383561646,0.010958904109589041,0.019178082191780823,0.0,0.6191780821917808,0.00821917808219178,0.00821917808219178,0.0,0.010958904109589041,0.0027397260273972603
1996,0.12295081967213115,0.02185792349726776,0.02459016393442623,0.0,0.01366120218579235,0.0,0.02185792349726776,0.04918032786885246,0.00273224043715847,0.0,0.00546448087431694,0.0,0.0,0.0,0.0273224043715847,0.00546448087431694,0.00273224043715847,0.0,0.6557377049180327,0.030054644808743168,0.00546448087431694,0.0,0.00819672131147541,0.00273224043715847
1997,0.09315068493150686,0.021917808219178082,0.0273972602739726,0.005479452054794521,0.00821917808219178,0.00821917808219178,0.00821917808219178,0.0410958904109589,0.005479452054794521,0.0,0.005479452054794521,0.0,0.0,0.0,0.019178082191780823,0.0136986301369863,0.021917808219178082,0.0,0.6794520547945205,0.021917808219178082,0.0,0.0027397260273972603,0.0136986301369863,0.0027397260273972603
1998,0.08767123287671233,0.0136986301369863,0.030136986301369864,0.0027397260273972603,0.0273972602739726,0.005479452054794521,0.00821917808219178,0.049315068493150684,0.0,0.0,0.010958904109589041,0.0,0.0027397260273972603,0.0,0.021917808219178082,0.021917808219178082,0.021917808219178082,0.0,0.663013698630137,0.010958904109589041,0.00821917808219178,0.0,0.00821917808219178,0.005479452054794521
