year,mean_sarcasm,std_sarcasm,comic_count
1989,0.8110841996394671,0.12360769563437617,260
1990,0.8012942043069291,0.11885890630038697,365
1991,0.786201333673033,0.12618789249117537,365
1992,0.7778936710839714,0.12485765361145662,366
1993,0.7917853613422342,0.11983560534751116,365
1994,0.7777384460788883,0.12146736140033856,365
1995,0.7817662240707711,0.12021249279651973,365
1996,0.7880940290748096,0.11984087916282059,366
1997,0.7883448262737222,0.12082025107885178,365
1998,0.7784742352080671,0.12694213232044085,365
1999,0.7731709805253434,0.12369361870910234,365
2000,0.7689952780314482,0.12432728307658206,366
2001,0.784309984886483,0.12685003987618604,365
2002,0.7927277976519441,0.11986461153651447,365
2003,0.7758551107694025,0.13327132390750646,365
2004,0.7875377944584101,0.1187456093227981,366
2005,0.791416367602675,0.12534395417351,365
2006,0.7914280326399085,0.1270747149144438,365
2007,0.7865741608894035,0.12403354920455927,365
2008,0.7791854058458505,0.12595669666541565,366
2009,0.7749245279455839,0.1288442986263597,365
2010,0.7937906056234282,0.12266811380360017,365
2011,0.7967803378627725,0.12686564393254987,365
2012,0.7877931878214977,0.12662535933549415,366
2013,0.7755639783323628,0.12796529273043988,365
2014,0.7683386523429662,0.12078680329702954,365
2015,0.7790247180690504,0.12861992020487148,365
2016,0.796145661118252,0.12576712134460835,366
2017,0.793014959276539,0.12843965117952574,365
2018,0.7847380838982047,0.12184312949627839,365
2019,0.795561145919643,0.11990531090968112,365
2020,0.8026106455286995,0.12337216804281412,366
2021,0.7888757096577997,0.12412728944812516,365
2022,0.779290520328365,0.12450503770488462,365
2023,0.7570892866228668,0.12347857233410706,71
